n_estimators,n_rf,score,train_size,vote_pct
10,1,0.8370107757615338,1024,0.7218817349137931
100,1,0.9342474991570192,1024,0.5992052801724138
10,10,0.9408641626659136,1024,0.5962082435344828
10,20,0.9495331891153365,1024,0.5915274784482759
200,1,0.9433886085075703,1024,0.5838328394396551
10,1,0.8591141582326695,2048,0.7735890355603449
100,1,0.9287754999749386,2048,0.6718413254310345
10,10,0.9435873819940134,2048,0.6581189385775862
10,20,0.9499020719513452,2048,0.6533539870689655
200,1,0.9367894154341483,2048,0.6693830818965517
10,1,0.8603354280244704,4096,0.8091662176724138
100,1,0.9270708283313326,4096,0.7293238146551724
10,10,0.933324088839585,4096,0.7285324622844828
10,20,0.9364231644452701,4096,0.7251144935344828
200,1,0.9308968413280727,4096,0.7297447467672413
10,1,0.825,512,0.6775323275862069
100,1,0.9073618877895901,512,0.5479862607758621
10,10,0.9401855961266895,512,0.5007745150862069
10,20,0.948321554770318,512,0.4955549568965517
200,1,0.9299607104588109,512,0.5185378502155172
